,place,Price2018-Q1,Price2017-Q4,principal2018-Q1,pmt2018-Q1,t_i2018-Q1,pti2018-Q1,min_inc2018-Q1,HAI2018-Q1,principal2017-Q4,pmt2017-Q4,t_i2017-Q4,pti2017-Q4,min_inc2017-Q4,HAI2017-Q4,Price2017-Q1,principal2017-Q1,pmt2017-Q1,t_i2017-Q1,pti2017-Q1,min_inc2017-Q1,HAI2017-Q1
1,Acton,610000,580000,488000,2455.257288,701.5,3156.757288,126270.2915,19.26197153,464000,2334.50693,667,3001.50693,120060.2772,19.23050813,474500,379600,1909.868169,545.675,2455.543169,98221.72677,41.72981897
2,Agoura Hills,1099000,1007500,879200,4423.488131,1263.85,5687.338131,227493.5252,17.68248788,806000,4055.199537,1158.625,5213.824537,208552.9815,16.26308041,917500,734000,3692.948462,1055.125,4748.073462,189922.9385,18.07465351
3,Agua Dulce,635000,617500,508000,2555.882587,730.25,3286.132587,131445.3035,21.50372949,494000,2485.444878,710.125,3195.569878,127822.7951,13.58234117,620000,496000,2495.507408,713,3208.507408,128340.2963,13.32328185
4,Ahwahnee,490000,292405,392000,1972.255854,563.5,2535.755854,101430.2342,12.16844386,233924,1176.933619,336.26575,1513.199369,60527.97474,45.32786057,399000,319200,1605.979767,458.85,2064.829767,82593.19069,25.07501179
5,Alameda,965000,1004250,772000,3884.13653,1109.75,4993.88653,199755.4612,12.20817751,803400,4042.118249,1154.8875,5197.005749,207880.2299,9.151332027,980000,784000,3944.511709,1127,5071.511709,202860.4684,9.018766483
6,Alamo,1785000,1688000,1428000,7184.646327,2052.75,9237.396327,369495.8531,15.51266873,1350400,6794.220168,1941.2,8735.420168,349416.8067,15.16225114,1630000,1304000,6560.769475,1874.5,8435.269475,337410.779,16.08399186
7,Albany,1080000,1220000,864000,4347.012904,1242,5589.012904,223560.5161,11.81373988,976000,4910.514576,1403,6313.514576,252540.5831,7.487557721,975000,780000,3924.386649,1121.25,5045.636649,201825.466,9.969889576
8,Albion,479000,453200,383200,1927.980723,550.85,2478.830723,99153.22892,21.78423542,362560,1824.135415,521.18,2345.315415,93812.61659,14.46096079,450000,360000,1811.255377,517.5,2328.755377,93150.21506,14.35987969
9,Alhambra,760000,708000,608000,3059.00908,874,3933.00908,157320.3632,6.324700777,566400,2849.708459,814.2,3663.908459,146556.3384,5.682949792,640000,512000,2576.007647,736,3312.007647,132480.3059,6.823946097
10,Altadena,862500,777000,690000,3471.572805,991.875,4463.447805,178537.9122,15.99342532,621600,3127.434283,893.55,4020.984283,160839.3713,16.0948539,806250,645000,3245.165883,927.1875,4172.353383,166894.1353,15.08306778
11,Antioch,431500,430000,345200,1736.792655,496.225,2233.017655,89320.70622,33.01967287,344000,1730.755138,494.5,2225.255138,89010.2055,32.91383515,4.00E+05,320000,1610.004779,460,2070.004779,82800.19117,33.74168555
12,Arcadia,1490000,1360000,1192000,5997.267802,1713.5,7710.767802,308430.7121,6.348211005,1088000,5474.016249,1564,7038.016249,281520.65,6.28595293,1468800,1175040,5911.937549,1689.12,7601.057549,304042.302,5.471555672
13,Arcata,317000,332500,253600,1275.928787,364.55,1640.478787,65619.1515,30.40858746,266000,1338.316473,382.375,1720.691473,68827.65891,29.50933796,360000,288000,1449.004301,414,1863.004301,74520.17205,28.85497753
14,Arnold,292060,285000,233648,1175.544989,335.869,1511.413989,60456.55958,46.37968684,228000,1147.128405,327.75,1474.878405,58995.13621,51.99154735,290000,232000,1167.253465,333.5,1500.753465,60030.1386,51.57221801
15,Artesia,518000,549000,414400,2084.956189,595.7,2680.656189,107226.2476,14.84810835,439200,2209.731559,631.35,2841.081559,113643.2624,12.13026875,499000,399200,2008.480962,573.85,2582.330962,103293.2385,14.01344182
16,Atwater,245000,239950,196000,986.1279272,281.75,1267.877927,50715.11709,41.34650066,191960,965.8016169,275.9425,1241.744117,49669.76468,59.90558827,238000,190400,957.9528436,273.7,1231.652844,49266.11374,59.31818587
17,Auberry,235000,205000,188000,945.8778077,270.25,1216.127808,48645.11231,59.91760048,164000,825.1274493,235.75,1060.877449,42435.09797,62.08293957,305000,244000,1227.628644,350.75,1578.378644,63135.14576,44.75302396
18,Avery,345000,212750,276000,1388.629122,396.75,1785.379122,71415.16488,47.84014291,170200,856.3212919,244.6625,1100.983792,44039.35168,64.60119244,243750,195000,981.0966623,280.3125,1261.409162,50456.36649,48.33727341
19,Azusa,458900,471250,367120,1847.077983,527.735,2374.812983,94992.51931,28.95325405,377000,1896.78688,541.9375,2438.72438,97548.97522,26.36418403,434000,347200,1746.855185,499.1,2245.955185,89838.20741,27.2632171
20,Baldwin Park,470000,434125,376000,1891.755615,540.5,2432.255615,97290.22462,24.32128483,347300,1747.358312,499.24375,2246.602062,89864.08247,23.68587611,385000,308000,1549.6296,442.75,1992.3796,79695.184,24.70753682
21,Bass Lake,662500,425000,530000,2666.570415,761.875,3428.445415,137137.8166,7.654511891,340000,1710.630078,488.75,2199.380078,87975.20311,15.50901172,525000,420000,2113.131273,603.75,2716.881273,108675.2509,6.59395901
22,Bay Point,425000,405000,340000,1710.630078,488.75,2199.380078,87975.20311,25.64720354,324000,1630.129839,465.75,2095.879839,83835.19356,23.42701931,342500,274000,1378.566592,393.875,1772.441592,70897.66369,41.9219292
23,Bear Valley,569337.5,488250,455470,2291.59024,654.738125,2946.328365,117853.1346,7.544238895,390600,1965.212084,561.4875,2526.699584,101067.9833,10.42649185,314350,251480,1265.262506,361.5025,1626.765006,65070.60023,43.7812248
24,Bell,471500,422000,377200,1897.793133,542.225,2440.018133,97600.72534,13.90533277,337600,1698.555042,485.3,2183.855042,87354.20168,12.0608361,367500,294000,1479.191891,422.625,1901.816891,76072.67563,12.47750244
25,Bell Gardens,4.00E+05,415000,320000,1610.004779,460,2070.004779,82800.19117,16.81334213,332000,1670.379958,477.25,2147.629958,85905.19833,14.24655275,420500,336400,1692.517524,483.575,2176.092524,87043.70096,13.98659627
26,Bellflower,495000,5.00E+05,396000,1992.380914,569.25,2561.630914,102465.2366,9.740808887,4.00E+05,2012.505974,575,2587.505974,103500.239,8.215850926,485000,388000,1952.130795,557.75,2509.880795,100395.2318,8.37623759
27,Belvedere,2310000,2775000,1848000,9297.7776,2656.5,11954.2776,478171.104,2.725327599,2220000,11169.40816,3191.25,14360.65816,574426.3262,0,3450000,2760000,13886.29122,3967.5,17853.79122,714151.6488,0
28,Berkeley,1234033.5,1205000,987226.8,4966.999582,1419.138525,6386.138107,255445.5243,8.81332338,964000,4850.139397,1385.75,6235.889397,249435.5759,7.867961152,1100000,880000,4427.513143,1265,5692.513143,227700.5257,8.762095187
29,Berry Creek,189000,197800,151200,760.7272581,217.35,978.0772581,39123.09033,59.36693339,158240,796.1473633,227.47,1023.617363,40944.69453,55.72121545,170000,136000,684.2520311,195.5,879.7520311,35190.08125,55.88244908
30,Bethel Island,370000,425500,296000,1489.254421,425.5,1914.754421,76590.17683,19.07986634,340400,1712.642584,489.325,2201.967584,88078.70335,17.77637773,289950,231960,1167.052214,333.4425,1500.494714,60019.78857,35.50425661
31,Beverly Hills,3350000,7588000,2680000,13483.79003,3852.5,17336.29003,693451.601,0,6070400,30541.79066,8726.2,39267.99066,1570719.626,0,2100000,1680000,8452.52509,2415,10867.52509,434701.0036,3.582270977
32,Blue Lake,455000,8.00E+05,364000,1831.380436,523.25,2354.630436,94185.21745,21.86601783,640000,3220.009558,920,4140.009558,165600.3823,2.835647264,290000,232000,1167.253465,333.5,1500.753465,60030.1386,38.50476562
33,Bolinas,1998500,1815000,1598800,8043.986378,2298.275,10342.26138,413690.4551,3.237183552,1452000,7305.396685,2087.25,9392.646685,375705.8674,6.039542979,5145000,4116000,20708.68647,5916.75,26625.43647,1065017.459,0
34,Brentwood,615000,590000,492000,2475.382348,707.25,3182.632348,127305.2939,19.83350081,472000,2374.757049,678.5,3053.257049,122130.282,17.38453453,556500,445200,2239.919149,639.975,2879.894149,115195.766,18.9982678
35,Burbank,850000,840000,680000,3421.260156,977.5,4398.760156,175950.4062,8.146539109,672000,3381.010036,966,4347.010036,173880.4014,6.963562123,750000,6.00E+05,3018.758961,862.5,3881.258961,155250.3584,8.157963079
36,Calabasas,1414500,1300000,1131600,5693.3794,1626.675,7320.0544,292802.176,14.93197077,1040000,5232.515532,1495,6727.515532,269100.6213,15.49471296,1645000,1316000,6621.144654,1891.75,8512.894654,340515.7862,10.60978278
37,Cameron Park,483000,449000,386400,1944.080771,555.45,2499.530771,99981.23083,38.37447116,359200,1807.230365,516.35,2323.580365,92943.21458,38.18845021,427500,342000,1720.692608,491.625,2212.317608,88492.70431,38.69628646
38,Camino,395000,425000,316000,1589.879719,454.25,2044.129719,81765.18878,37.48763401,340000,1710.630078,488.75,2199.380078,87975.20311,32.52551455,340000,272000,1368.504062,391,1759.504062,70380.16249,53.48328068
39,Carson,537500,525000,430000,2163.443922,618.125,2781.568922,111262.7569,14.8610119,420000,2113.131273,603.75,2716.881273,108675.2509,14.0083088,456000,364800,1835.405448,524.4,2359.805448,94392.21793,31.81296619
40,Caruthers,215000,216000,172000,865.3775688,247.25,1112.627569,44505.10275,60.21010439,172800,869.4025807,248.4,1117.802581,44712.10323,59.53093139,230947.5,184758,929.5664468,265.589625,1195.156072,47806.24287,59.16896459
41,Castaic,544000,524000,435200,2189.6065,625.6,2815.2065,112608.26,25.35564636,419200,2109.106261,602.6,2711.706261,108468.2504,25.35470345,545000,436000,2193.631512,626.75,2820.381512,112815.2605,23.46971686
42,Castro Valley,830000,835000,664000,3340.759917,954.5,4295.259917,171810.3967,14.96366888,668000,3360.884976,960.25,4321.134976,172845.3991,12.88804302,787500,630000,3169.696909,905.625,4075.321909,163012.8764,13.52972221
43,Catheys Valley,450000,362500,360000,1811.255377,517.5,2328.755377,93150.21506,22.78962514,290000,1459.066831,416.875,1875.941831,75037.67324,26.23092839,385000,308000,1549.6296,442.75,1992.3796,79695.184,25.45396925
44,Cerritos,695000,750000,556000,2797.383304,799.25,3596.633304,143865.3322,17.32506824,6.00E+05,3018.758961,862.5,3881.258961,155250.3584,14.82369804,705000,564000,2837.633423,810.75,3648.383423,145935.3369,15.80101058
45,Chico,348250,338000,278600,1401.710411,400.4875,1802.197911,72087.91643,40.79479161,270400,1360.454038,388.7,1749.154038,69966.16153,39.18136765,315000,252000,1267.878764,362.25,1630.128764,65205.15054,39.47516527
46,Chowchilla,249900,221000,199920,1005.850486,287.385,1293.235486,51729.41943,35.63166453,176800,889.5276405,254.15,1143.67764,45747.10562,50.8969742,225000,180000,905.6276883,258.75,1164.377688,46575.10753,50.5842925
47,Claremont,690177.5,675500,552142,2777.972684,793.704125,3571.676809,142867.0723,19.53985153,540400,2718.895571,776.825,3495.720571,139828.8228,17.93311861,640500,512400,2578.020153,736.575,3314.595153,132583.8061,18.77999887
48,Clayton,830000,821750,664000,3340.759917,954.5,4295.259917,171810.3967,24.09638797,657400,3307.553568,945.0125,4252.566068,170102.6427,21.97233211,816000,652800,3284.409749,938.4,4222.809749,168912.39,21.44661106
49,Clovis,320000,326900,256000,1288.003823,368,1656.003823,66240.15293,55.30691967,261520,1315.776406,375.935,1691.711406,67668.45623,52.06812518,3.00E+05,240000,1207.503584,345,1552.503584,62100.14337,52.83046646
50,Coalinga,165000,159450,132000,664.1269714,189.75,853.8769714,34155.07886,72.92372374,127560,641.7881551,183.3675,825.1556551,33006.2262,73.35856362,170000,136000,684.2520311,195.5,879.7520311,35190.08125,62.06150766
51,Coarsegold,275000,272500,220000,1106.878286,316.25,1423.128286,56925.13143,47.17243849,218000,1096.815756,313.375,1410.190756,56407.63023,38.36810406,244000,195200,982.1029153,280.6,1262.702915,50508.11661,38.92501208
52,Commerce,323000,413000,258400,1300.078859,371.45,1671.528859,66861.15437,41.70255304,330400,1662.329934,474.95,2137.279934,85491.19738,17.51909909,407000,325600,1638.179863,468.05,2106.229863,84249.19451,17.46972793
53,Compton,390000,360000,312000,1569.75466,448.5,2018.25466,80730.18639,21.0805342,288000,1449.004301,414,1863.004301,74520.17205,39.74648195,340500,272400,1370.516568,391.575,1762.091568,70483.66273,39.82386141
54,Concord,625000,599000,5.00E+05,2515.632467,718.75,3234.382467,129375.2987,13.84467402,479200,2410.982157,688.85,3099.832157,123993.2863,12.66136501,571500,457200,2300.294328,657.225,2957.519328,118300.7731,13.53897033
55,Copperopolis,288465,329750,230772,1161.075072,331.73475,1492.809822,59712.39286,52.06479884,263800,1327.24769,379.2125,1706.46019,68258.40759,50.16904139,277000,221600,1114.92831,318.55,1433.47831,57339.13238,52.06432818
56,Corte Madera,1265000,1482500,1012000,5091.640114,1454.75,6546.390114,261855.6046,20.90594548,1186000,5967.080213,1704.875,7671.955213,306878.2085,15.5475939,1206000,964800,4854.164409,1386.9,6241.064409,249642.5764,19.81562729
57,Covina,540000,525000,432000,2173.506452,621,2794.506452,111780.2581,13.05414684,420000,2113.131273,603.75,2716.881273,108675.2509,12.13527591,490000,392000,1972.255854,563.5,2535.755854,101430.2342,13.27353504
58,Crescent City,2.00E+05,219500,160000,805.0023896,230,1035.00239,41400.09558,51.38375103,175600,883.4901226,252.425,1135.915123,45436.6049,50.53848326,209000,167200,841.2274971,240.35,1081.577497,43263.09988,50.49399218
59,Crockett,437500,476450,350000,1760.942727,503.125,2264.067727,90562.70909,35.3064302,381160,1917.716943,547.9175,2465.634443,98625.3777,35.34723118,446000,356800,1795.155329,512.9,2308.055329,92322.21315,36.40114684
60,Culver City,1389500,1177000,1111600,5592.754102,1597.925,7190.679102,287627.1641,5.821690213,941600,4737.439063,1353.55,6090.989063,243639.5625,6.352509487,1037000,829600,4173.93739,1192.55,5366.48739,214659.4956,7.522079579
61,Cutten,315000,335000,252000,1267.878764,362.25,1630.128764,65205.15054,48.00062265,268000,1348.379003,385.25,1733.629003,69345.1601,48.01981766,292500,234000,1177.315995,336.375,1513.690995,60547.63979,49.24008499
62,Danville,1349800,1316250,1079840,5432.961127,1552.27,6985.231127,279409.2451,19.39748073,1053000,5297.921976,1513.6875,6811.609476,272464.3791,17.0284725,1267500,1014000,5101.702644,1457.625,6559.327644,262373.1058,17.33104413
63,Delhi,285000,317000,228000,1147.128405,327.75,1474.878405,58995.13621,47.11652873,253600,1275.928787,364.55,1640.478787,65619.1515,42.38837284,220500,176400,887.5151345,253.575,1141.090134,45643.60538,61.2401228
64,Diablo,3562500,1950000,2850000,14339.10506,4096.875,18435.98006,737439.2026,0,1560000,7848.773298,2242.5,10091.2733,403650.9319,8.741181863,3693750,2955000,14867.38788,4247.8125,19115.20038,764608.0153,0
65,Diamond Bar,731950,745000,585560,2946.107495,841.7425,3787.849995,151513.9998,14.6233193,596000,2998.633901,856.75,3855.383901,154215.356,12.513211,725000,580000,2918.133662,833.75,3751.883662,150075.3465,12.66719533
66,Diamond Springs,347000,305000,277600,1396.679146,399.05,1795.729146,71829.16584,49.03185443,244000,1227.628644,350.75,1578.378644,63135.14576,47.93428616,4.00E+05,320000,1610.004779,460,2070.004779,82800.19117,27.27307359
67,Dillon Beach,1150000,849000,920000,4628.76374,1322.5,5951.26374,238050.5496,5.906353681,679200,3417.235144,976.35,4393.585144,175743.4057,6.779358536,1030000,824000,4145.762306,1184.5,5330.262306,213210.4923,3.946673133
68,Discovery Bay,545000,582000,436000,2193.631512,626.75,2820.381512,112815.2605,26.92499742,465600,2342.556954,669.3,3011.856954,120474.2781,25.87060943,563750,451000,2269.100486,648.3125,2917.412986,116696.5194,26.37573291
69,Dorrington,273750,318500,219000,1101.847021,314.8125,1416.659521,56666.38083,26.34759418,254800,1281.966305,366.275,1648.241305,65929.65222,34.42088721,273000,218400,1098.828262,313.95,1412.778262,56511.13047,36.08289037
70,Dos Palos,230860,152000,184688,929.2142583,265.489,1194.703258,47788.13033,52.49343878,121600,611.8018161,174.8,786.6018161,31464.07264,71.03975946,239550,191640,964.1916121,275.4825,1239.674112,49586.96448,51.49552496
71,Downey,580000,560000,464000,2334.50693,667,3001.50693,120060.2772,10.55625552,448000,2254.006691,644,2898.006691,115920.2676,9.791104176,525000,420000,2113.131273,603.75,2716.881273,108675.2509,10.72330457
72,Duarte,557000,495000,445600,2241.931655,640.55,2882.481655,115299.2662,14.14292521,396000,1992.380914,569.25,2561.630914,102465.2366,15.31412676,475000,380000,1911.880675,546.25,2458.130675,98325.22701,28.09834524
73,Dublin,1099500,955000,879600,4425.500637,1264.425,5689.925637,227597.0255,14.61489658,764000,3843.88641,1098.25,4942.13641,197685.4564,13.82943455,1093500,874800,4401.350565,1257.525,5658.875565,226355.0226,10.86628384
74,East Los Angeles,420000,410000,336000,1690.505018,483,2173.505018,86940.20072,17.6929972,328000,1650.254899,471.5,2121.754899,84870.19594,16.31570066,390000,312000,1569.75466,448.5,2018.25466,80730.18639,16.29686503
75,El Cerrito,931500,882000,745200,3749.298629,1071.225,4820.523629,192820.9452,11.62352951,705600,3550.060538,1014.3,4564.360538,182574.4215,11.46609309,9.00E+05,720000,3622.510753,1035,4657.510753,186300.4301,10.65071896
76,El Dorado Hills,620000,602500,496000,2495.507408,713,3208.507408,128340.2963,33.87868062,482000,2425.069699,692.875,3117.944699,124717.7879,32.62459739,580000,464000,2334.50693,667,3001.50693,120060.2772,33.35981278
77,El Monte,537000,520000,429600,2161.431416,617.55,2778.981416,111159.2566,5.776597114,416000,2093.006213,598,2691.006213,107640.2485,5.119655598,497250,397800,2001.437191,571.8375,2573.274691,102930.9876,5.427473205
78,El Segundo,1512500,1379000,1210000,6087.830571,1739.375,7827.205571,313088.2228,6.056466471,1103200,5550.491476,1585.85,7136.341476,285453.659,5.67494136,1382250,1105800,5563.572765,1589.5875,7153.160265,286126.4106,5.523181879
79,El Sobrante,602500,577500,482000,2425.069699,692.875,3117.944699,124717.7879,14.17970117,462000,2324.4444,664.125,2988.5694,119542.776,14.69764344,475000,380000,1911.880675,546.25,2458.130675,98325.22701,34.10906316
80,Eureka,258500,282000,206800,1040.465589,297.275,1337.740589,53509.62354,33.60765851,225600,1135.053369,324.3,1459.353369,58374.13477,35.13145481,274500,219600,1104.86578,315.675,1420.54078,56821.63119,35.01458412
81,Fairfax,940000,892500,752000,3783.511231,1081,4864.511231,194580.4492,16.94026528,714000,3592.323163,1026.375,4618.698163,184747.9265,16.44260498,1003500,802800,4039.09949,1154.025,5193.12449,207724.9796,13.45401712
82,Ferndale,452500,375000,362000,1821.317906,520.375,2341.692906,93667.71626,16.52719414,3.00E+05,1509.37948,431.25,1940.62948,77625.17922,17.11985156,325204.5,260163.6,1308.951998,373.985175,1682.937173,67317.48692,38.41915668
83,Firebaugh,180500,175000,144400,726.5146566,207.575,934.0896566,37363.58626,57.20323216,140000,704.3770909,201.25,905.6270909,36225.08363,48.47744632,183000,146400,736.5771865,210.45,947.0271865,37881.08746,47.94597788
84,Folsom,550000,508000,440000,2213.756571,632.5,2846.256571,113850.2629,27.87822987,406400,2044.70607,584.2,2628.90607,105156.2428,27.97434241,488500,390800,1966.218337,561.775,2527.993337,101119.7335,28.65250522
85,Fort Bragg,390000,364250,312000,1569.75466,448.5,2018.25466,80730.18639,17.96329375,291400,1466.110602,418.8875,1884.998102,75399.92408,19.13730169,369100,295280,1485.63191,424.465,1910.09691,76403.8764,18.51410157
